City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Scottsbluff,US,2020-02-19 17:40:27,41.87,-103.67,23.0,79,90,12.75
101,Butaritari,KI,2020-02-19 17:40:28,3.07,172.79,84.07,79,0,19.08
102,Smithers,CA,2020-02-19 17:37:30,54.78,-127.17,12.2,92,20,5.82
103,Castro,BR,2020-02-19 17:38:30,-24.79,-50.01,88.02,43,49,4.32
104,Bandarbeyla,SO,2020-02-19 17:40:28,9.49,50.81,77.58,78,0,11.16
105,Lebu,CL,2020-02-19 17:40:28,-37.62,-73.65,66.76,37,0,14.27
106,Ossora,RU,2020-02-19 17:40:28,59.24,163.07,-4.43,93,0,10.49
107,Bilma,NE,2020-02-19 17:40:29,18.69,12.92,67.37,22,0,5.44
108,Tarakan,ID,2020-02-19 17:40:29,3.3,117.63,78.08,81,72,11.81
109,Bathsheba,BB,2020-02-19 17:40:29,13.22,-59.52,77.0,88,90,13.87
110,Chyhyryn,UA,2020-02-19 17:40:29,49.08,32.66,38.23,74,29,1.3
111,Riohacha,CO,2020-02-19 17:40:29,11.54,-72.91,91.4,52,75,23.04
112,Kavieng,PG,2020-02-19 17:40:30,-2.57,150.8,81.59,76,93,14.47
113,Nikolskoye,RU,2020-02-19 17:40:30,59.7,30.79,37.99,84,75,11.18
114,Valparaiso,CL,2020-02-19 17:37:38,-33.04,-71.63,64.4,68,0,8.05
115,Husavik,IS,2020-02-19 17:40:30,66.04,-17.34,30.2,92,90,11.41
116,Saldanha,ZA,2020-02-19 17:39:43,-33.01,17.94,84.2,37,31,9.17
117,Kaduy,RU,2020-02-19 17:40:31,59.2,37.15,35.6,92,75,11.18
118,Erzin,TR,2020-02-19 17:40:31,36.96,36.2,57.2,76,75,5.82
119,Port Elizabeth,ZA,2020-02-19 17:36:54,-33.92,25.57,69.8,88,16,19.46
120,Pushkar,IN,2020-02-19 17:40:31,26.5,74.55,65.93,27,100,4.25
121,Iqaluit,CA,2020-02-19 17:36:35,63.75,-68.51,-25.01,60,40,3.36
122,Ponta Delgada,PT,2020-02-19 17:40:32,37.73,-25.67,62.6,93,75,13.87
123,Lompoc,US,2020-02-19 17:40:32,34.64,-120.46,57.2,87,40,4.7
124,Chernyshevskiy,RU,2020-02-19 17:40:32,63.01,112.47,5.67,93,100,5.82
125,Skibbereen,IE,2020-02-19 17:40:33,51.55,-9.27,48.2,93,75,21.92
126,Moose Factory,CA,2020-02-19 17:40:33,51.26,-80.61,-9.4,52,1,13.87
127,Souillac,MU,2020-02-19 17:40:33,-20.52,57.52,78.8,78,40,9.17
128,Nador,MA,2020-02-19 17:40:33,35.17,-2.93,60.8,77,75,13.87
129,Ovalle,CL,2020-02-19 17:40:33,-30.6,-71.2,86.2,20,0,9.69
130,Khatanga,RU,2020-02-19 17:40:33,71.97,102.5,-12.78,88,0,2.46
131,Port Hedland,AU,2020-02-19 17:40:34,-20.32,118.57,84.2,83,75,6.93
132,Narsaq,GL,2020-02-19 17:40:34,60.92,-46.05,15.8,47,75,8.05
133,New Norfolk,AU,2020-02-19 17:40:34,-42.78,147.06,55.4,71,90,8.05
134,Veraval,IN,2020-02-19 17:40:34,20.9,70.37,67.35,83,0,4.09
135,Ancud,CL,2020-02-19 17:40:34,-41.87,-73.82,60.8,48,40,14.99
136,Shenzhen,CN,2020-02-19 17:40:35,22.55,114.07,64.99,59,0,2.24
137,San Patricio,MX,2020-02-19 17:40:35,19.22,-104.7,84.2,62,5,8.05
138,Norman Wells,CA,2020-02-19 17:40:35,65.28,-126.83,3.2,71,75,8.05
139,Hasaki,JP,2020-02-19 17:40:35,35.73,140.83,39.2,86,75,2.24
140,Thompson,CA,2020-02-19 17:36:05,55.74,-97.86,-7.6,57,20,6.93
141,Dingle,PH,2020-02-19 17:40:36,11.0,122.67,72.72,89,100,15.7
142,Sabratah,LY,2020-02-19 17:40:36,32.79,12.49,59.61,66,32,10.2
143,Bolitoc,PH,2020-02-19 17:40:36,15.74,119.88,69.82,70,0,5.57
144,Mount Isa,AU,2020-02-19 17:40:36,-20.73,139.5,86.0,23,75,10.29
145,Palmeira,BR,2020-02-19 17:40:36,-25.43,-50.01,85.15,58,32,4.63
146,Kruisfontein,ZA,2020-02-19 17:40:37,-34.0,24.73,77.54,69,46,5.41
147,Kez,RU,2020-02-19 17:40:37,57.9,53.72,32.23,97,100,7.96
148,Port Moresby,PG,2020-02-19 17:40:37,-9.44,147.18,81.37,78,22,7.56
149,Lagoa,PT,2020-02-19 17:40:37,39.05,-27.98,58.71,78,44,28.36
150,Miri,MY,2020-02-19 17:40:37,4.41,114.01,78.8,94,75,6.93
151,Madras,IN,2020-02-19 17:40:37,13.09,80.28,80.01,65,20,5.82
152,Fortuna,US,2020-02-19 17:40:38,40.6,-124.16,48.0,100,1,3.11
153,Agadez,NE,2020-02-19 17:40:38,19.75,10.25,65.1,18,0,6.33
154,Tual,ID,2020-02-19 17:40:38,-5.67,132.75,79.45,88,100,22.66
155,Limbang,MY,2020-02-19 17:40:38,4.75,115.0,80.6,83,75,11.41
156,Caravelas,BR,2020-02-19 17:40:38,-17.71,-39.25,81.99,75,67,11.12
157,Beringovskiy,RU,2020-02-19 17:40:39,63.05,179.32,-13.99,89,33,18.23
158,Iisalmi,FI,2020-02-19 17:40:39,63.56,27.19,32.0,91,90,9.17
159,Klaksvik,FO,2020-02-19 17:40:39,62.23,-6.59,39.2,86,90,32.21
160,Mantenopolis,BR,2020-02-19 17:40:39,-18.86,-41.12,82.04,68,63,6.51
161,Shimoda,JP,2020-02-19 17:40:39,34.67,138.95,34.0,83,66,2.42
162,Soe,ID,2020-02-19 17:40:40,-9.86,124.28,75.81,80,99,3.74
163,Faanui,PF,2020-02-19 17:40:40,-16.48,-151.75,82.24,78,65,15.48
164,Maceio,BR,2020-02-19 17:40:40,-9.67,-35.74,86.0,51,40,13.87
165,Isangel,VU,2020-02-19 17:40:40,-19.55,169.27,76.82,76,31,11.41
166,Yumen,CN,2020-02-19 17:40:41,40.28,97.2,19.99,49,50,22.59
167,Derzhavinsk,KZ,2020-02-19 17:40:41,51.1,66.32,22.73,91,89,22.75
168,Marmaris,TR,2020-02-19 17:40:26,36.85,28.27,59.0,72,40,4.7
169,Jamestown,US,2020-02-19 17:37:32,42.1,-79.24,28.4,73,90,14.99
170,Geraldton,AU,2020-02-19 17:40:41,-28.77,114.6,80.6,51,40,18.34
171,Shestakovo,RU,2020-02-19 17:40:42,56.49,103.96,8.44,97,98,3.71
172,Esperantinopolis,BR,2020-02-19 17:40:42,-4.87,-44.71,83.52,86,93,1.52
173,Chapais,CA,2020-02-19 17:40:42,49.78,-74.85,-5.8,70,90,12.75
174,Nelson Bay,AU,2020-02-19 17:40:42,-32.72,152.15,68.0,82,32,4.7
175,Kawalu,ID,2020-02-19 17:40:42,-7.38,108.21,71.46,90,99,1.45
176,Kieta,PG,2020-02-19 17:40:43,-6.22,155.63,81.66,70,76,4.12
177,Kuzino,RU,2020-02-19 17:40:43,57.02,59.44,30.02,96,100,6.69
178,Abha,SA,2020-02-19 17:40:43,18.22,42.51,66.2,55,0,6.93
179,Longyearbyen,SJ,2020-02-19 17:40:43,78.22,15.64,6.8,65,75,24.16
180,Siirt,TR,2020-02-19 17:40:43,37.93,41.94,41.27,78,87,2.84
181,Lavrentiya,RU,2020-02-19 17:40:44,65.58,-171.0,-12.69,83,100,9.53
182,Tura,IN,2020-02-19 17:40:44,25.52,90.22,63.75,46,14,2.86
183,Halifax,CA,2020-02-19 17:35:56,44.65,-63.57,39.99,64,75,23.04
184,Aklavik,CA,2020-02-19 17:40:44,68.22,-135.01,15.8,84,90,3.36
185,Avera,US,2020-02-19 17:40:44,33.19,-82.53,64.4,82,90,9.17
186,Pevek,RU,2020-02-19 17:40:45,69.7,170.31,-21.59,99,100,6.42
187,Abomsa,ET,2020-02-19 17:40:45,9.98,39.98,78.04,37,0,2.33
188,Ulety,RU,2020-02-19 17:40:45,51.36,112.48,2.77,93,86,2.44
189,Plouzane,FR,2020-02-19 17:40:45,48.38,-4.62,50.0,87,90,17.22
190,Ramanathapuram,IN,2020-02-19 17:40:45,9.38,78.83,78.78,74,18,19.91
191,Khromtau,KZ,2020-02-19 17:40:46,50.25,58.43,21.31,88,23,13.18
192,Sibolga,ID,2020-02-19 17:40:46,1.74,98.78,70.41,93,76,3.76
193,Lazaro Cardenas,MX,2020-02-19 17:40:46,17.96,-102.2,89.01,25,0,4.99
194,Constitucion,CL,2020-02-19 17:40:46,-35.33,-72.42,71.87,48,3,14.34
195,Leua,SK,2020-02-19 17:40:46,48.22,18.61,46.0,70,90,10.29
196,Cotonou,BJ,2020-02-19 17:40:47,6.37,2.42,86.0,79,20,12.75
197,Asgabat,TM,2020-02-19 17:40:47,37.95,58.38,42.8,60,30,11.41
198,Mayor Pablo Lagerenza,PY,2020-02-19 17:40:47,-19.93,-60.77,101.37,31,79,5.86
199,Kuryk,KZ,2020-02-19 17:40:48,43.2,51.65,47.37,84,95,17.49
200,Port Lincoln,AU,2020-02-19 17:40:48,-34.73,135.87,59.58,69,98,10.65
201,Pyaozerskiy,RU,2020-02-19 17:40:48,65.83,31.17,17.13,86,100,9.06
202,Gordeyevka,RU,2020-02-19 17:40:48,52.96,31.97,38.26,80,83,8.01
203,Skjervoy,NO,2020-02-19 17:40:48,70.03,20.97,26.6,63,75,23.04
204,Lao Cai,VN,2020-02-19 17:40:49,22.48,103.95,54.23,84,18,0.81
205,Kemi,FI,2020-02-19 17:40:49,65.74,24.56,19.4,92,0,5.82
206,Pangai,TO,2020-02-19 17:40:49,-19.8,-174.35,78.8,74,75,10.29
207,Long Beach,US,2020-02-19 17:40:00,33.77,-118.19,64.99,63,20,1.63
208,Khandyga,RU,2020-02-19 17:40:49,62.67,135.6,-25.08,99,97,1.39
209,Turukhansk,RU,2020-02-19 17:40:49,65.82,87.98,14.04,92,100,12.59
